Time,Temperature,Control_Output
4.66,90.24,3.3
4.67,90.38,3.3
4.68,90.52,3.3
4.69,90.66,3.3
4.7,90.8,3.3
4.71,90.94,3.3
4.72,91.08,3.3
4.73,91.22,3.3
4.74,91.36,3.3
4.75,91.5,3.3
4.76,91.64,3.3
4.77,91.78,3.3
4.78,91.92,3.3
4.79,92.06,3.3
4.8,92.2,3.3
4.81,92.34,3.3
4.82,92.48,3.3
4.83,92.62,3.3
4.84,92.76,3.3
4.85,92.9,3.3
4.86,93.04,3.3
4.87,93.18,3.3
4.88,93.32,3.3
4.89,93.46,3.3
4.9,93.6,3.3
4.91,93.74,3.3
4.92,93.88,3.3
4.93,94.02,3.3
4.94,94.16,3.3
4.95,94.3,3.3
4.96,94.44,3.3
4.97,94.58,3.3
4.98,94.72,3.3
4.99,94.86,3.3
5,95,3.3
